dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20190114;02;AFLT3;010;AFLUENTE T;ON;;R$;0000000000460;0000000000470;0000000000452;0000000000460;0000000000452;0000000000451;00022;000000000000003500;000000000001612000;0000000000000;0;99991231;0000001;0000000000000;BRAFLTACNOR1;113
20190114;12;AGCX11;010;FII AG CAIXA;CI;;R$;0000000118700;0000000119000;0000000118253;0000000118523;0000000119000;0000000118652;00068;000000000000000465;000000000055113305;0000000000000;0;99991231;0000001;0000000000000;BRAGCXCTF003;174
20190114;02;AGRO3;010;BRASILAGRO;ON      NM;;R$;0000000001601;0000000001621;0000000001601;0000000001615;0000000001609;0000000001607;00087;000000000000025000;000000000040380600;0000000000000;0;99991231;0000001;0000000000000;BRAGROACNOR7;108
20190114;12;ALMI11;010;FII TORRE AL;CI;;R$;0000000141999;0000000144999;0000000140500;0000000143069;0000000143094;0000000142201;00064;000000000000000180;000000000025752515;0000000000000;0;99991231;0000001;0000000000000;BRALMICTF003;250
20190114;02;ALPA3;010;ALPARGATAS;ON      N1;;R$;0000000001700;0000000001761;0000000001695;0000000001752;0000000001761;0000000001702;00013;000000000000002200;000000000003855100;0000000000000;0;99991231;0000001;0000000000000;BRALPAACNOR0;227
20190114;02;ALPA4;010;ALPARGATAS;PN      N1;;R$;0000000001883;0000000001900;0000000001856;0000000001885;0000000001900;0000000001881;02414;000000000000608700;000000001147499700;0000000000000;0;99991231;0000001;0000000000000;BRALPAACNPR7;227
20190114;02;ALSC3;010;ALIANSCE;ON      NM;;R$;0000000001916;0000000001931;0000000001897;0000000001910;0000000001905;0000000001904;01309;000000000000235800;000000000450521700;0000000000000;0;99991231;0000001;0000000000000;BRALSCACNOR0;111
20190114;02;ALUP3;010;ALUPAR;ON      N2;;R$;0000000000730;0000000000740;0000000000726;0000000000730;0000000000727;0000000000726;00008;000000000000001000;000000000000730600;0000000000000;0;99991231;0000001;0000000000000;BRALUPACNOR8;109
20190114;02;ALUP11;010;ALUPAR;UNT     N2;;R$;0000000001922;0000000001931;0000000001916;0000000001922;0000000001925;0000000001925;02475;000000000000518800;000000000997517200;0000000000000;0;99991231;0000001;0000000000000;BRALUPCDAM15;109
20190114;02;ALUP4;010;ALUPAR;PN      N2;;R$;0000000000595;0000000000602;0000000000595;0000000000598;0000000000600;0000000000598;00019;000000000000004000;000000000002395300;0000000000000;0;99991231;0000001;0000000000000;BRALUPACNPR5;109
20190114;12;ALZR11;010;FII ALIANZA;CI;;R$;0000000009850;0000000009890;0000000009850;0000000009865;0000000009890;0000000009855;00092;000000000000001219;000000000012025453;0000000000000;0;99991231;0000001;0000000000000;BRALZRCTF006;111
20190114;02;AMAR3;010;LOJAS MARISA;ON      NM;;R$;0000000000588;0000000000590;0000000000562;0000000000571;0000000000570;0000000000569;01707;000000000000956000;000000000546818400;0000000000000;0;99991231;0000001;0000000000000;BRAMARACNOR4;112
20190114;02;AMGN34;010;AMGEN;DRN;;R$;0000000072746;0000000072746;0000000072746;0000000072746;0000000072746;0000000000000;00001;000000000000000200;000000000014549200;0000000000000;0;99991231;0000001;0000000000000;BRAMGNBDR004;128
20190114;02;AMZO34;010;AMAZON;DRN;;R$;0000000298295;0000000302631;0000000298295;0000000300463;0000000302631;0000000000000;00002;000000000000000200;000000000060092600;0000000000000;0;99991231;0000001;0000000000000;BRAMZOBDR002;101
20190114;02;ANIM3;010;ANIMA;ON      NM;;R$;0000000001860;0000000001895;0000000001821;0000000001857;0000000001882;0000000001880;01571;000000000000374300;000000000695312400;0000000000000;0;99991231;0000001;0000000000000;BRANIMACNOR6;105
20190114;12;AQLL11;010;FII AQUILLA;CI;;R$;0000000045000;0000000045000;0000000045000;0000000045000;0000000045000;0000000036517;00002;000000000000000004;000000000000180000;0000000000000;0;99991231;0000001;0000000000000;BRAQLLCTF008;101
20190114;02;APER3;010;ALPER S.A.;ON      NM;;R$;0000000001799;0000000001835;0000000001702;0000000001780;0000000001800;0000000001798;00154;000000000000036500;000000000064971200;0000000000000;0;99991231;0000001;0000000000000;BRAPERACNOR9;100
20190114;02;ARZZ3;010;AREZZO CO;ON      NM;;R$;0000000005322;0000000005370;0000000005108;0000000005146;0000000005205;0000000005200;02670;000000000000808200;000000004159483000;0000000000000;0;99991231;0000001;0000000000000;BRARZZACNOR3;132
20190114;02;ATOM3;010;ATOMPAR;ON;;R$;0000000000255;0000000000295;0000000000255;0000000000276;0000000000267;0000000000267;00741;000000000000578900;000000000159962500;0000000000000;0;99991231;0000001;0000000000000;BRATOMACNOR1;103
20190114;12;ATSA11;010;FII HATRIUM;CI;;R$;0000000010017;0000000010018;0000000010017;0000000010017;0000000010018;0000000009901;00002;000000000000000008;000000000000080140;0000000000000;0;99991231;0000001;0000000000000;BRATSACTF000;123
20190114;02;ATTB34;010;ATT INC;DRN ED;;R$;0000000011336;0000000011336;0000000011336;0000000011336;0000000011336;0000000000000;00001;000000000000001400;000000000015870400;0000000000000;0;99991231;0000001;0000000000000;BRATTBBDR007;126
20190114;02;AZEV4;010;AZEVEDO;PN;;R$;0000000000100;0000000000101;0000000000099;0000000000099;0000000000099;0000000000099;00063;000000000000074500;000000000007402900;0000000000000;0;99991231;0000001;0000000000000;BRAZEVACNPR7;116
20190114;02;AZUL4;010;AZUL;PN      N2;;R$;0000000003720;0000000003800;0000000003683;0000000003759;0000000003747;0000000003747;06774;000000000002254800;000000008475930700;0000000000000;0;99991231;0000001;0000000000000;BRAZULACNPR4;100
20190114;02;B3SA3;010;B3;ON      NM;;R$;0000000002889;0000000002975;0000000002884;0000000002934;0000000002951;0000000002950;38524;000000000015503600;000000045502889100;0000000000000;0;99991231;0000001;0000000000000;BRB3SAACNOR6;104
20190114;02;BAHI3;010;BAHEMA;ON      MA;;R$;0000000014050;0000000014200;0000000014050;0000000014144;0000000014100;0000000014100;00007;000000000000000900;000000000012730000;0000000000000;0;99991231;0000001;0000000000000;BRBAHIACNOR1;070
20190114;02;BAUH4;010;EXCELSIOR;PN;;R$;0000000001869;0000000001870;0000000001869;0000000001869;0000000001870;0000000001710;00002;000000000000000400;000000000000747900;0000000000000;0;99991231;0000001;0000000000000;BRBAUHACNPR3;113
20190114;02;BAZA3;010;AMAZONIA;ON;;R$;0000000002599;0000000002600;0000000002599;0000000002599;0000000002600;0000000002515;00003;000000000000003000;000000000007797400;0000000000000;0;99991231;0000001;0000000000000;BRBAZAACNOR0;172
20190114;02;BBAS3;010;BRASIL;ON      NM;;R$;0000000004870;0000000004983;0000000004850;0000000004918;0000000004983;0000000004970;25579;000000000008974400;000000044139727000;0000000000000;0;99991231;0000001;0000000000000;BRBBASACNOR3;281
20190114;02;BBDC3;010;BRADESCO;ON  EJ  N1;;R$;0000000003677;0000000003741;0000000003674;0000000003714;0000000003716;0000000003710;08328;000000000001470000;000000005460204900;0000000000000;0;99991231;0000001;0000000000000;BRBBDCACNOR1;689
20190114;02;BBDC4;010;BRADESCO;PN  EJ  N1;;R$;0000000004160;0000000004199;0000000004133;0000000004176;0000000004199;0000000004193;22039;000000000008705100;000000036354158700;0000000000000;0;99991231;0000001;0000000000000;BRBBDCACNPR8;689
